FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
256,-0.882200773,0.467135085,0.059216625,0.9893329245473897,0.6547138268045369,315,104,other
257,-0.834944525,0.522163994,0.173817156,0.9673339893094876,0.6748751121664166,308,107,other
258,-0.777245912,0.564696491,0.277500748,0.945421858508188,0.6910067653439189,301,109,other
259,-0.714844678,0.591186166,0.373491637,0.9233718287060609,0.7013401522509476,294,111,other
260,-0.783155826,0.497163251,0.37349117,0.929175772120616,0.6656249944034228,296,105,other
261,-0.844425516,0.456497853,0.28027711,0.9489951218686701,0.6508963900420409,302,103,other
262,-0.897593039,0.404904105,0.174296879,0.9694747784641753,0.6326951000442207,309,100,other
263,-0.937444071,0.343064253,0.059207534,0.9899613510339582,0.6114648626701578,315,97,other
264,-0.960058592,0.273462931,-0.059207481,0.0098027810407002,0.5881690878157447,3,93,other
265,-0.964166394,0.200009975,-0.174296229,0.028463677410925176,0.5640974574391641,9,89,other
266,-0.9514787,0.127019491,-0.280275459,0.045592505396039006,0.5405410768494303,14,85,other
267,-0.925813108,0.058108231,-0.373488316,0.06102767510179779,0.5185068493150903,19,82,other
268,-0.925813108,-0.058108236,-0.373488316,0.06102767510179779,0.4814931490960496,19,76,other
269,-0.960726091,1.59e-09,-0.277498428,0.04475266571251474,0.5000000005061127,14,79,other
270,-0.982405228,0.068322636,-0.173815953,0.02787069000075082,0.5217647258305469,8,82,other
271,-0.988291518,0.140617575,-0.059216317,0.009524836632478663,0.5449088012208899,3,86,other
272,-0.975138439,0.213030242,0.061017554,0.990054129605787,0.5683332862914552,315,90,other
273,-0.942601861,0.281235751,0.180022734,0.9699654933949861,0.5907442890430757,309,93,other
274,-0.893606975,0.341614585,0.291146097,0.9498718667312884,0.6109737437405076,303,97,other
275,-0.833315268,0.392127381,0.389643147,0.9303890549882636,0.6282607565109922,296,99,other
276,-0.764273775,0.439053983,0.47235283,0.9118950514796864,0.6446863172985442,290,102,other
277,-0.80315092,0.329476828,0.496380519,0.9118950508955413,0.606872356470542,290,96,other
278,-0.871405798,0.273291442,0.407386454,0.9303991172200695,0.5881123394761927,296,93,other
279,-0.928991655,0.21303036,0.302642646,0.9498768436628122,0.5683333247552382,303,90,other
280,-0.971872434,0.144954476,0.185612963,0.9699654947893077,0.5463035722446812,309,86,other
281,-0.995422137,0.072477181,0.06230432,0.9900513345916396,0.5230904488575193,315,83,other
282,-0.998210688,-6.44e-09,-0.059794832,0.009522323232364016,0.4999999979500843,3,79,other
